"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"41163","RIVADAVIA BANDA NORTE",1526,"GOBERNADOR","VOTOS EN BLANCO",6,"0",2007,"28E"
"41164","RIVADAVIA BANDA NORTE",1526,"SENADOR","VOTOS EN BLANCO",7,"0",2007,"28E"
"41207","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","PJ - FRE.JU.VI.",23,"0",2007,"28G"
"41208","RIVADAVIA BANDA NORTE",1529,"SENADOR","PJ - FRE.JU.VI.",23,"0",2007,"28G"
"41216","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"28G"
"41223","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"28G"
"41224","RIVADAVIA BANDA NORTE",1529,"SENADOR","FRENTE GRANDE",35,"0",2007,"28G"
"41249","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"28G"
"41251","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"28G"
"41253","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"28G"
"41256","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","PROPUESTA SALTENA",0,"0",2007,"28G"
"41261","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",37,"0",2007,"28G"
"41262","RIVADAVIA BANDA NORTE",1529,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",2,"0",2007,"28G"
"41265","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"28G"
"41266","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","CONCERTACION SALTENA",0,"0",2007,"28G"
"41276","RIVADAVIA BANDA NORTE",1529,"GOBERNADOR","VOTOS EN BLANCO",3,"0",2007,"28G"
"41277","RIVADAVIA BANDA NORTE",1529,"SENADOR","VOTOS EN BLANCO",3,"0",2007,"28G"
"41310","JOAQUIN V. GONZALEZ",1495,"GOBERNADOR","PJ - FRE.JU.VI.",148,"0",2007,"24F"
"41311","JOAQUIN V. GONZALEZ",1495,"SENADOR","PJ - FRE.JU.VI.",51,"0",2007,"24F"
"41319","JOAQUIN V. GONZALEZ",1495,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"24F"
"41326","JOAQUIN V. GONZALEZ",1495,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"24F"
"41351","JOAQUIN V. GONZALEZ",1494,"GOBERNADOR","VOTOS EN BLANCO",7,"0",2007,"24E"
"41352","JOAQUIN V. GONZALEZ",1494,"SENADOR","VOTOS EN BLANCO",10,"0",2007,"24E"
"41384","SALTA",3067,"GOBERNADOR","PJ - FRE.JU.VI.",114,"1",2007,"2B"
"41385","SALTA",3067,"DIPUTADO","PJ - FRE.JU.VI.",59,"1",2007,"2B"
"41390","SALTA",3067,"DIPUTADO","PARTIDO DEMOCRATA CRISTIANO",5,"1",2007,"2B"
"41396","SALTA",3067,"DIPUTADO","PARTIDO CONSERVADOR POPULAR",22,"1",2007,"2B"
"41398","SALTA",3067,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"2B"
"41399","SALTA",3067,"DIPUTADO","PARTIDO HUMANISTA",0,"1",2007,"2B"
"41408","SALTA",3067,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"2B"
"41409","SALTA",3067,"DIPUTADO","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"2B"
"41412","SALTA",3067,"DIPUTADO","FRENTE GRANDE",48,"1",2007,"2B"
"41427","SALTA",3067,"DIPUTADO","CORRIENTE PATRIA LIBRE",15,"1",2007,"2B"
"41436","SALTA",3067,"DIPUTADO","UNION VICTORIA POPULAR",0,"1",2007,"2B"
